, Total Estimate ,Total MOE3, White Estimate ,White MOE3, White Percent ,White MOE3, Black Estimate ,Black MOE3, Black Percent ,Black MOE3, Asian Estimate ,Asian MOE3, Asian Percent ,Asian MOE3, Hispanic Estimate ,Hispanic MOE3, Hispanic Percent ,Hispanic MOE3
..Natural sciences managers,"  18,200 ",  934 ,"  14,030 ",  872 ,  77.1 ,  2.4 ,  720 ,  209 ,  4.0 ,  1.1 ,"  2,415 ",  308 ,  13.3 ,  1.6 ,"  1,030 ",  238 ,  5.7 ,  1.3 
..Agricultural and food scientists,"  23,250 ",  988 ,"  19,110 ",  890 ,  82.2 ,  2.0 ,  660 ,  174 ,  2.8 ,  0.7 ,"  2,080 ",  349 ,  8.9 ,  1.4 ,"  1,400 ",  257 ,  6.0 ,  1.1 
..Biological scientists,"  68,515 ","  1,869 ","  53,770 ","  1,769 ",  78.5 ,  1.2 ,"  2,625 ",  477 ,  3.8 ,  0.7 ,"  8,115 ",  616 ,  11.8 ,  0.9 ,"  4,005 ",  423 ,  5.8 ,  0.6 
..Conservation scientists and foresters,"  20,080 ",  832 ,"  19,005 ",  801 ,  94.6 ,  1.1 ,  300 ,  114 ,  1.5 ,  0.6 ,  100 ,  55 ,  0.5 ,  0.3 ,  680 ,  199 ,  3.4 ,  1.0 
"..Medical scientists and life scientists, all other","  133,205 ","  2,942 ","  76,770 ","  2,064 ",  57.6 ,  0.9 ,"  6,745 ",  597 ,  5.1 ,  0.4 ,"  41,725 ","  1,600 ",  31.3 ,  1.0 ,"  7,965 ",  693 ,  6.0 ,  0.5 
.Physical Scientists Occupations:,"  366,884 ","  5,587 ","  258,200 ","  4,096 ",  70.4 ,  0.4 ,"  14,970 ",  941 ,  4.1 ,  0.2 ,"  75,105 ","  2,075 ",  20.5 ,  0.5 ,"  18,609 ",  971 ,  5.1 ,  0.3 
..Astronomers and physicists,"  10,105 ",  590 ,"  7,770 ",  537 ,  76.9 ,  3.3 ,  265 ,  121 ,  2.6 ,  1.2 ,"  1,740 ",  330 ,  17.2 ,  3.1 ,  330 ,  116 ,  3.3 ,  1.1 
..Atmospheric and space scientists,"  9,840 ",  705 ,"  8,580 ",  647 ,  87.2 ,  2.5 ,  325 ,  114 ,  3.3 ,  1.1 ,  490 ,  172 ,  5.0 ,  1.7 ,  445 ,  160 ,  4.5 ,  1.6 
..Chemists and materials scientists,"  76,605 ","  2,180 ","  51,915 ","  1,639 ",  67.8 ,  1.2 ,"  5,200 ",  547 ,  6.8 ,  0.6 ,"  14,960 ",  875 ,  19.5 ,  0.9 ,"  4,530 ",  444 ,  5.9 ,  0.6 
..Environmental scientists and geoscientists,"  70,120 ","  2,103 ","  61,045 ","  1,778 ",  87.1 ,  0.9 ,"  2,390 ",  380 ,  3.4 ,  0.5 ,"  3,425 ",  421 ,  4.9 ,  0.6 ,"  3,260 ",  469 ,  4.7 ,  0.6 
"..Physical scientists, all other","  200,220 ","  3,792 ","  128,895 ","  2,753 ",  64.4 ,  0.6 ,"  6,790 ",  589 ,  3.4 ,  0.3 ,"  54,490 ","  1,683 ",  27.2 ,  0.6 ,"  10,040 ",  719 ,  5.0 ,  0.4 
.Social Scientists Occupations:,"  279,295 ","  3,346 ","  230,025 ","  2,987 ",  82.4 ,  0.6 ,"  14,987 ",  901 ,  5.4 ,  0.3 ,"  13,141 ",  825 ,  4.7 ,  0.3 ,"  21,142 ","  1,092 ",  7.6 ,  0.4 
..Economists,"  23,665 ","  1,127 ","  16,890 ",  877 ,  71.4 ,  2.1 ,"  1,360 ",  289 ,  5.7 ,  1.2 ,"  3,040 ",  412 ,  12.9 ,  1.6 ,"  2,375 ",  389 ,  10.0 ,  1.5 
..Psychologists,"  193,285 ","  2,716 ","  163,935 ","  2,601 ",  84.8 ,  0.7 ,"  9,035 ",  682 ,  4.7 ,  0.3 ,"  6,685 ",  573 ,  3.5 ,  0.3 ,"  13,635 ",  947 ,  7.1 ,  0.5 
..Urban and regional planners,"  21,605 ",  986 ,"  17,470 ",  946 ,  80.9 ,  2.0 ,"  1,255 ",  238 ,  5.8 ,  1.0 ,"  1,245 ",  259 ,  5.8 ,  1.2 ,"  1,635 ",  262 ,  7.6 ,  1.2 
"..Miscellaneous social scientists and related workers, including sociologists and survey researchers","  40,740 ","  1,321 ","  31,730 ","  1,066 ",  77.9 ,  1.4 ,"  3,340 ",  485 ,  8.2 ,  1.1 ,"  2,170 ",  305 ,  5.3 ,  0.7 ,"  3,500 ",  416 ,  8.6 ,  1.0 
".Life, Physical, and Social Science Technicians:","  259,835 ","  3,335 ","  184,614 ","  2,758 ",  71.1 ,  0.7 ,"  23,307 ","  1,177 ",  9.0 ,  0.4 ,"  23,271 ","  1,095 ",  9.0 ,  0.4 ,"  28,643 ","  1,352 ",  11.0 ,  0.5 
..Agricultural and food science technicians,"  29,880 ","  1,282 ","  21,420 ",  940 ,  71.7 ,  2.1 ,"  2,265 ",  415 ,  7.6 ,  1.3 ,"  1,350 ",  252 ,  4.5 ,  0.8 ,"  4,845 ",  586 ,  16.2 ,  1.6 
..Biological technicians,"  16,855 ",  976 ,"  11,305 ",  763 ,  67.1 ,  2.9 ,"  1,405 ",  250 ,  8.3 ,  1.4 ,"  2,060 ",  318 ,  12.2 ,  1.8 ,"  2,085 ",  353 ,  12.4 ,  1.9 
..Chemical technicians,"  59,555 ","  1,582 ","  42,805 ","  1,260 ",  71.9 ,  1.1 ,"  7,345 ",  529 ,  12.3 ,  0.8 ,"  3,960 ",  396 ,  6.6 ,  0.6 ,"  5,445 ",  522 ,  9.1 ,  0.8 
..Geological and petroleum technicians and nuclear technicians,"  18,445 ","  1,060 ","  14,185 ",  878 ,  76.9 ,  2.4 ,"  1,305 ",  325 ,  7.1 ,  1.7 ,  670 ,  215 ,  3.6 ,  1.1 ,"  2,280 ",  348 ,  12.4 ,  1.7 
"..Miscellaneous life, physical, and social science technicians, including social science research assistants","  135,100 ","  2,868 ","  94,895 ","  2,253 ",  70.2 ,  1.0 ,"  10,985 ",  781 ,  8.1 ,  0.6 ,"  15,235 ",  820 ,  11.3 ,  0.6 ,"  13,985 ",  970 ,  10.4 ,  0.6 
